case_id,fraud_type,complaint_time,amount,victim_region,status
C0001,Investment Fraud,2026-06-13 03:48:00,148790,Kochi,Closed
C0002,Job Scam,2026-02-10 23:49:00,167892,Pune,Closed
C0003,Investment Fraud,2026-08-07 07:56:00,82917,Mumbai,Closed
C0004,UPI Fraud,2026-02-24 19:21:00,353732,Hyderabad,Closed
C0005,Online Shopping Fraud,2026-05-16 08:34:00,68689,Chennai,Closed
C0006,Phishing,2026-05-10 20:47:00,69022,Bengaluru,Closed
C0007,Online Shopping Fraud,2026-04-19 07:13:00,121357,Hyderabad,Closed
C0008,Online Shopping Fraud,2026-02-03 19:29:00,25159,Delhi,Closed
C0009,Job Scam,2026-04-25 04:47:00,44474,Bengaluru,Closed
C0010,Job Scam,2026-07-07 18:58:00,48363,Bengaluru,Closed
C0011,Phishing,2026-01-31 19:26:00,323011,Chennai,Closed
C0012,Investment Fraud,2026-05-25 03:24:00,105550,Hyderabad,Closed
C0013,Phishing,2026-07-03 11:42:00,64693,Kochi,Closed
C0014,UPI Fraud,2026-06-20 03:30:00,39820,Mumbai,Closed
C0015,Phishing,2026-08-12 07:46:00,61846,Chennai,Closed
C0016,Online Shopping Fraud,2026-04-22 20:41:00,61793,Coimbatore,Closed
C0017,Online Shopping Fraud,2026-06-23 05:56:00,98926,Kochi,Closed
C0018,Investment Fraud,2026-05-02 20:51:00,193099,Delhi,Closed
C0019,Online Shopping Fraud,2026-05-10 14:33:00,118186,Delhi,Closed
C0020,Phishing,2026-06-27 05:12:00,34557,Coimbatore,Closed
C0021,Online Shopping Fraud,2026-08-24 04:21:00,180538,Chennai,Closed
C0022,Phishing,2026-01-08 08:26:00,91163,Chennai,Closed
C0023,Phishing,2026-04-07 13:32:00,30641,Coimbatore,Closed
C0024,Phishing,2026-08-17 15:41:00,69176,Mumbai,Closed
C0025,Job Scam,2026-03-28 00:58:00,131639,Pune,Closed
C0026,UPI Fraud,2026-06-27 08:18:00,129598,Pune,Closed
C0027,Investment Fraud,2026-02-02 09:21:00,58185,Chennai,Closed
C0028,Online Shopping Fraud,2026-05-23 14:12:00,228142,Hyderabad,Closed
C0029,UPI Fraud,2026-06-25 07:58:00,51100,Hyderabad,Closed
C0030,Online Shopping Fraud,2026-02-28 23:00:00,130344,Chennai,Closed
C0031,UPI Fraud,2026-01-23 10:44:00,68158,Pune,Closed
C0032,Investment Fraud,2026-05-05 04:08:00,41268,Hyderabad,Closed
C0033,Online Shopping Fraud,2026-02-18 20:27:00,191558,Bengaluru,Closed
C0034,Phishing,2026-02-18 23:48:00,94401,Mumbai,Closed
C0035,Phishing,2026-08-11 22:20:00,133550,Coimbatore,Closed
C0036,Investment Fraud,2026-08-20 00:59:00,133524,Pune,Closed
C0037,UPI Fraud,2026-03-01 15:44:00,97174,Delhi,Closed
C0038,Job Scam,2026-08-01 22:28:00,12297,Kochi,Closed
C0039,UPI Fraud,2026-06-15 01:20:00,107211,Delhi,Closed
C0040,Investment Fraud,2026-03-17 11:33:00,107617,Delhi,Closed
C0041,Online Shopping Fraud,2026-01-07 21:08:00,83883,Pune,Closed
C0042,Investment Fraud,2026-08-15 14:09:00,326191,Delhi,Closed
C0043,Phishing,2026-07-15 18:55:00,52372,Hyderabad,Closed
C0044,Online Shopping Fraud,2026-07-09 14:22:00,207990,Coimbatore,Closed
C0045,Investment Fraud,2026-05-06 15:08:00,65454,Coimbatore,Closed
C0046,UPI Fraud,2026-03-22 14:34:00,108075,Kochi,Closed
C0047,Job Scam,2026-02-24 05:16:00,57027,Hyderabad,Closed
C0048,Investment Fraud,2026-03-28 11:58:00,73074,Bengaluru,Closed
C0049,UPI Fraud,2026-06-22 02:47:00,126730,Delhi,Closed
C0050,Phishing,2026-07-11 14:41:00,100409,Bengaluru,Closed
C0051,Online Shopping Fraud,2026-03-04 14:52:00,32229,Mumbai,Closed
C0052,Online Shopping Fraud,2026-02-20 05:55:00,76020,Bengaluru,Closed
C0053,UPI Fraud,2026-05-10 02:31:00,87894,Delhi,Closed
C0054,Online Shopping Fraud,2026-04-23 17:53:00,452197,Bengaluru,Closed
C0055,Online Shopping Fraud,2026-01-22 10:34:00,122880,Mumbai,Closed
C0056,Investment Fraud,2026-05-19 17:58:00,21545,Pune,Closed
C0057,UPI Fraud,2026-05-01 06:37:00,104936,Delhi,Closed
C0058,UPI Fraud,2026-07-29 15:23:00,85736,Chennai,Closed
C0059,Online Shopping Fraud,2026-05-21 20:46:00,97261,Mumbai,Closed
C0060,UPI Fraud,2026-01-01 20:59:00,249492,Hyderabad,Closed
C0061,Job Scam,2026-02-14 23:22:00,188292,Delhi,Closed
C0062,Job Scam,2026-07-24 12:33:00,307171,Mumbai,Closed
C0063,Investment Fraud,2026-06-13 01:57:00,159917,Mumbai,Closed
C0064,Investment Fraud,2026-03-13 08:31:00,45274,Chennai,Closed
C0065,UPI Fraud,2026-03-23 22:47:00,108298,Coimbatore,Closed
C0066,Online Shopping Fraud,2026-07-16 13:58:00,28923,Coimbatore,Closed
C0067,Online Shopping Fraud,2026-02-27 11:48:00,42748,Kochi,Closed
C0068,Investment Fraud,2026-08-10 00:58:00,47924,Chennai,Closed
C0069,UPI Fraud,2026-07-03 10:53:00,53440,Mumbai,Closed
C0070,Job Scam,2026-05-12 15:56:00,191710,Kochi,Closed
C0071,Job Scam,2026-04-09 17:12:00,119957,Kochi,Closed
C0072,Phishing,2026-06-05 17:35:00,27637,Pune,Closed
C0073,Online Shopping Fraud,2026-07-04 01:45:00,123109,Delhi,Closed
C0074,Online Shopping Fraud,2026-05-13 07:04:00,37174,Pune,Closed
C0075,UPI Fraud,2026-08-28 09:20:00,151824,Coimbatore,Closed
C0076,Investment Fraud,2026-06-24 04:41:00,122188,Bengaluru,Closed
C0077,UPI Fraud,2026-06-04 03:39:00,58041,Kochi,Closed
C0078,UPI Fraud,2026-03-05 00:13:00,126422,Mumbai,Closed
C0079,UPI Fraud,2026-08-29 10:04:00,444873,Hyderabad,Closed
C0080,Online Shopping Fraud,2026-05-10 06:54:00,38556,Bengaluru,Closed
C0081,Investment Fraud,2026-02-25 19:44:00,45852,Chennai,Closed
C0082,Online Shopping Fraud,2026-04-29 22:59:00,252660,Mumbai,Closed
C0083,UPI Fraud,2026-03-01 19:39:00,216128,Pune,Closed
C0084,Phishing,2026-03-18 12:50:00,193024,Delhi,Closed
C0085,Investment Fraud,2026-06-04 20:34:00,82175,Coimbatore,Closed
C0086,Online Shopping Fraud,2026-04-08 15:54:00,49085,Pune,Closed
C0087,UPI Fraud,2026-05-21 22:20:00,94018,Kochi,Closed
C0088,Online Shopping Fraud,2026-06-13 22:45:00,124776,Delhi,Closed
C0089,Phishing,2026-04-28 19:17:00,101045,Hyderabad,Closed
C0090,Job Scam,2026-06-27 19:20:00,80918,Kochi,Closed
