account_id,case_id,account_type,region,account_age_days
A0001_1,C0001,Victim,Kochi,487
A0001_2,C0001,Mule,Hyderabad,1538
A0001_3,C0001,Mule,Chennai,1415
A0001_4,C0001,Mule,Bhubaneswar,1146
A0001_5,C0001,Mule,Chennai,1239
A0002_1,C0002,Victim,Pune,348
A0002_2,C0002,Mule,Coimbatore,1593
A0002_3,C0002,Mule,Pune,239
A0002_4,C0002,Mule,Chennai,808
A0002_5,C0002,Mule,Chennai,765
A0002_6,C0002,Mule,Pune,1266
A0003_1,C0003,Victim,Mumbai,958
A0003_2,C0003,Mule,Lucknow,1738
A0003_3,C0003,Mule,Pune,363
A0003_4,C0003,Mule,Pune,757
A0003_5,C0003,Mule,Coimbatore,1402
A0003_6,C0003,Mule,Kochi,1467
A0004_1,C0004,Victim,Hyderabad,840
A0004_2,C0004,Mule,Lucknow,969
A0004_3,C0004,Mule,Hyderabad,572
A0004_4,C0004,Mule,Hyderabad,535
A0004_5,C0004,Mule,Bhubaneswar,1179
A0004_6,C0004,Mule,Ahmedabad,568
A0004_7,C0004,Mule,Bhubaneswar,1227
A0005_1,C0005,Victim,Chennai,1426
A0005_2,C0005,Mule,Ahmedabad,1567
A0005_3,C0005,Mule,Kochi,1604
A0005_4,C0005,Mule,Lucknow,726
A0006_1,C0006,Victim,Bengaluru,1591
A0006_2,C0006,Mule,Hyderabad,1134
A0006_3,C0006,Mule,Ahmedabad,31
A0006_4,C0006,Mule,Jaipur,693
A0006_5,C0006,Mule,Delhi,69
A0006_6,C0006,Mule,Chennai,773
A0007_1,C0007,Victim,Hyderabad,847
A0007_2,C0007,Mule,Lucknow,1360
A0007_3,C0007,Mule,Pune,927
A0007_4,C0007,Mule,Ahmedabad,954
A0007_5,C0007,Mule,Chennai,537
A0007_6,C0007,Mule,Coimbatore,161
A0008_1,C0008,Victim,Delhi,1636
A0008_2,C0008,Mule,Delhi,1683
A0008_3,C0008,Mule,Mumbai,419
A0008_4,C0008,Mule,Chennai,228
A0008_5,C0008,Mule,Lucknow,912
A0009_1,C0009,Victim,Bengaluru,977
A0009_2,C0009,Mule,Coimbatore,184
A0009_3,C0009,Mule,Delhi,1684
A0009_4,C0009,Mule,Ahmedabad,230
A0009_5,C0009,Mule,Bengaluru,1365
A0009_6,C0009,Mule,Ahmedabad,1742
A0010_1,C0010,Victim,Bengaluru,637
A0010_2,C0010,Mule,Coimbatore,149
A0010_3,C0010,Mule,Jaipur,1536
A0010_4,C0010,Mule,Ahmedabad,154
A0010_5,C0010,Mule,Bhubaneswar,672
A0011_1,C0011,Victim,Chennai,888
