transaction_id,case_id,sender_account,receiver_account,amount,timestamp,transaction_type
T0001_01,C0001,A0001_1,A0001_2,94846,2026-06-13 04:27:00,Transfer
T0001_02,C0001,A0001_2,A0001_3,75004,2026-06-13 04:41:00,Transfer
T0001_03,C0001,A0001_3,A0001_4,62733,2026-06-13 05:09:00,Transfer
T0001_04,C0001,A0001_4,A0001_5,40034,2026-06-13 05:28:00,Transfer
T0002_01,C0002,A0002_1,A0002_2,128351,2026-02-11 00:32:00,Transfer
T0002_02,C0002,A0002_2,A0002_3,74638,2026-02-11 00:52:00,Transfer
T0002_03,C0002,A0002_3,A0002_4,65812,2026-02-11 01:17:00,Transfer
T0002_04,C0002,A0002_4,A0002_5,51395,2026-02-11 01:23:00,Transfer
T0002_05,C0002,A0002_5,A0002_6,29209,2026-02-11 01:39:00,Transfer
T0003_01,C0003,A0003_1,A0003_2,63320,2026-08-07 08:21:00,Transfer
T0003_02,C0003,A0003_2,A0003_3,38964,2026-08-07 08:47:00,Transfer
T0003_03,C0003,A0003_3,A0003_4,25637,2026-08-07 09:03:00,Transfer
T0003_04,C0003,A0003_4,A0003_5,21120,2026-08-07 09:08:00,Transfer
T0003_05,C0003,A0003_5,A0003_6,13550,2026-08-07 09:12:00,Transfer
T0004_01,C0004,A0004_1,A0004_2,225584,2026-02-24 19:45:00,Transfer
T0004_02,C0004,A0004_2,A0004_3,170047,2026-02-24 19:52:00,Transfer
T0004_03,C0004,A0004_3,A0004_4,144933,2026-02-24 20:01:00,Transfer
T0004_04,C0004,A0004_4,A0004_5,88573,2026-02-24 20:13:00,Transfer
T0004_05,C0004,A0004_5,A0004_6,76777,2026-02-24 20:42:00,Transfer
T0004_06,C0004,A0004_6,A0004_7,60543,2026-02-24 21:08:00,Transfer
T0005_01,C0005,A0005_1,A0005_2,50245,2026-05-16 09:00:00,Transfer
T0005_02,C0005,A0005_2,A0005_3,47167,2026-05-16 09:13:00,Transfer
T0005_03,C0005,A0005_3,A0005_4,35520,2026-05-16 09:21:00,Transfer
T0006_01,C0006,A0006_1,A0006_2,62202,2026-05-10 21:04:00,Transfer
T0006_02,C0006,A0006_2,A0006_3,36342,2026-05-10 21:37:00,Transfer
T0006_03,C0006,A0006_3,A0006_4,31850,2026-05-10 21:47:00,Transfer
T0006_04,C0006,A0006_4,A0006_5,19153,2026-05-10 22:19:00,Transfer
T0006_05,C0006,A0006_5,A0006_6,17788,2026-05-10 22:31:00,Transfer
T0007_01,C0007,A0007_1,A0007_2,77916,2026-04-19 07:49:00,Transfer
T0007_02,C0007,A0007_2,A0007_3,43077,2026-04-19 07:54:00,Transfer
T0007_03,C0007,A0007_3,A0007_4,27637,2026-04-19 07:58:00,Transfer
T0007_04,C0007,A0007_4,A0007_5,24703,2026-04-19 08:04:00,Transfer
T0007_05,C0007,A0007_5,A0007_6,18667,2026-04-19 08:23:00,Transfer
T0008_01,C0008,A0008_1,A0008_2,22530,2026-02-03 19:51:00,Transfer
T0008_02,C0008,A0008_2,A0008_3,18459,2026-02-03 19:59:00,Transfer
T0008_03,C0008,A0008_3,A0008_4,10599,2026-02-03 20:22:00,Transfer
T0008_04,C0008,A0008_4,A0008_5,9223,2026-02-03 20:30:00,Transfer
T0009_01,C0009,A0009_1,A0009_2,31690,2026-04-25 05:27:00,Transfer
T0009_02,C0009,A0009_2,A0009_3,20138,2026-04-25 05:54:00,Transfer
T0009_03,C0009,A0009_3,A0009_4,18345,2026-04-25 06:06:00,Transfer
T0009_04,C0009,A0009_4,A0009_5,12870,2026-04-25 06:32:00,Transfer
T0009_05,C0009,A0009_5,A0009_6,8443,2026-04-25 07:03:00,Transfer
T0010_01,C0010,A0010_1,A0010_2,36327,2026-07-07 19:51:00,Transfer
T0010_02,C0010,A0010_2,A0010_3,22267,2026-07-07 20:25:00,Transfer
T0010_03,C0010,A0010_3,A0010_4,12960,2026-07-07 20:38:00,Transfer
T0010_04,C0010,A0010_4,A0010_5,7483,2026-07-07 20:44:00,Transfer
T0011_01,C0011,A0011_1,A0011_2,208495,2026-01-31 20:06:00,Transfer
T0011_02,C0011,A0011_2,A0011_3,125587,2026-01-31 20:27:00,Transfer
T0011_03,C0011,A0011_3,A0011_4,92041,2026-01-31 20:33:00,Transfer
T0012_01,C0012,A0012_1,A0012_2,58382,2026-05-25 04:04:00,Transfer
T0012_02,C0012,A0012_2,A0012_3,53869,2026-05-25 04:12:00,Transfer
T0012_03,C0012,A0012_3,A0012_4,49859,2026-05-25 04:22:00,Transfer
T0012_04,C0012,A0012_4,A0012_5,32696,2026-05-25 04:30:00,Transfer
T0012_05,C0012,A0012_5,A0012_6,27692,2026-05-25 04:41:00,Transfer
T0013_01,C0013,A0013_1,A0013_2,50095,2026-07-03 12:07:00,Transfer
T0013_02,C0013,A0013_2,A0013_3,29059,2026-07-03 12:18:00,Transfer
T0013_03,C0013,A0013_3,A0013_4,22324,2026-07-03 12:43:00,Transfer
T0013_04,C0013,A0013_4,A0013_5,17479,2026-07-03 12:54:00,Transfer
T0013_05,C0013,A0013_5,A0013_6,12618,2026-07-03 12:58:00,Transfer
T0013_06,C0013,A0013_6,A0013_7,8495,2026-07-03 13:02:00,Transfer
T0014_01,C0014,A0014_1,A0014_2,26150,2026-06-20 03:48:00,Transfer
T0014_02,C0014,A0014_2,A0014_3,18383,2026-06-20 03:52:00,Transfer
T0014_03,C0014,A0014_3,A0014_4,16424,2026-06-20 04:08:00,Transfer
T0014_04,C0014,A0014_4,A0014_5,10344,2026-06-20 04:39:00,Transfer
T0015_01,C0015,A0015_1,A0015_2,57250,2026-08-12 08:08:00,Transfer
T0015_02,C0015,A0015_2,A0015_3,51571,2026-08-12 08:26:00,Transfer
T0015_03,C0015,A0015_3,A0015_4,32047,2026-08-12 08:44:00,Transfer
T0015_04,C0015,A0015_4,A0015_5,18116,2026-08-12 09:13:00,Transfer
T0016_01,C0016,A0016_1,A0016_2,44646,2026-04-22 21:18:00,Transfer
T0016_02,C0016,A0016_2,A0016_3,35683,2026-04-22 21:27:00,Transfer
T0016_03,C0016,A0016_3,A0016_4,29898,2026-04-22 21:48:00,Transfer
T0016_04,C0016,A0016_4,A0016_5,22508,2026-04-22 22:16:00,Transfer
T0016_05,C0016,A0016_5,A0016_6,15316,2026-04-22 22:36:00,Transfer
T0016_06,C0016,A0016_6,A0016_7,11820,2026-04-22 22:50:00,Transfer
T0017_01,C0017,A0017_1,A0017_2,73133,2026-06-23 06:27:00,Transfer
T0017_02,C0017,A0017_2,A0017_3,59496,2026-06-23 06:47:00,Transfer
T0017_03,C0017,A0017_3,A0017_4,44989,2026-06-23 07:10:00,Transfer
T0017_04,C0017,A0017_4,A0017_5,26424,2026-06-23 07:27:00,Transfer
T0017_05,C0017,A0017_5,A0017_6,21644,2026-06-23 07:43:00,Transfer
T0017_06,C0017,A0017_6,A0017_7,18887,2026-06-23 07:54:00,Transfer
T0018_01,C0018,A0018_1,A0018_2,119789,2026-05-02 21:36:00,Transfer
T0018_02,C0018,A0018_2,A0018_3,88143,2026-05-02 21:53:00,Transfer
T0018_03,C0018,A0018_3,A0018_4,80826,2026-05-02 22:02:00,Transfer
T0018_04,C0018,A0018_4,A0018_5,59211,2026-05-02 22:33:00,Transfer
T0018_05,C0018,A0018_5,A0018_6,48377,2026-05-02 22:55:00,Transfer
T0018_06,C0018,A0018_6,A0018_7,44991,2026-05-02 23:25:00,Transfer
T0019_01,C0019,A0019_1,A0019_2,77983,2026-05-10 14:49:00,Transfer
T0019_02,C0019,A0019_2,A0019_3,65148,2026-05-10 15:06:00,Transfer
T0019_03,C0019,A0019_3,A0019_4,42912,2026-05-10 15:28:00,Transfer
T0019_04,C0019,A0019_4,A0019_5,38930,2026-05-10 15:35:00,Transfer
T0020_01,C0020,A0020_1,A0020_2,32037,2026-06-27 05:36:00,Transfer
T0020_02,C0020,A0020_2,A0020_3,27275,2026-06-27 06:04:00,Transfer
T0020_03,C0020,A0020_3,A0020_4,20873,2026-06-27 06:20:00,Transfer
T0020_04,C0020,A0020_4,A0020_5,15556,2026-06-27 06:39:00,Transfer
T0020_05,C0020,A0020_5,A0020_6,11267,2026-06-27 06:42:00,Transfer
T0020_06,C0020,A0020_6,A0020_7,7949,2026-06-27 07:09:00,Transfer
T0021_01,C0021,A0021_1,A0021_2,123668,2026-08-24 05:00:00,Transfer
T0021_02,C0021,A0021_2,A0021_3,81781,2026-08-24 05:28:00,Transfer
T0021_03,C0021,A0021_3,A0021_4,53231,2026-08-24 05:35:00,Transfer
T0021_04,C0021,A0021_4,A0021_5,39291,2026-08-24 05:40:00,Transfer
T0021_05,C0021,A0021_5,A0021_6,37325,2026-08-24 06:04:00,Transfer
T0021_06,C0021,A0021_6,A0021_7,23876,2026-08-24 06:10:00,Transfer
T0022_01,C0022,A0022_1,A0022_2,72233,2026-01-08 08:43:00,Transfer
T0022_02,C0022,A0022_2,A0022_3,62201,2026-01-08 08:55:00,Transfer
T0022_03,C0022,A0022_3,A0022_4,58213,2026-01-08 09:03:00,Transfer
T0022_04,C0022,A0022_4,A0022_5,45491,2026-01-08 09:24:00,Transfer
T0023_01,C0023,A0023_1,A0023_2,23382,2026-04-07 14:11:00,Transfer
T0023_02,C0023,A0023_2,A0023_3,13505,2026-04-07 14:34:00,Transfer
T0023_03,C0023,A0023_3,A0023_4,7496,2026-04-07 15:02:00,Transfer
T0023_04,C0023,A0023_4,A0023_5,6588,2026-04-07 15:10:00,Transfer
T0024_01,C0024,A0024_1,A0024_2,46965,2026-08-17 16:09:00,Transfer
T0024_02,C0024,A0024_2,A0024_3,41436,2026-08-17 16:16:00,Transfer
T0024_03,C0024,A0024_3,A0024_4,27412,2026-08-17 16:46:00,Transfer
T0024_04,C0024,A0024_4,A0024_5,17750,2026-08-17 17:17:00,Transfer
T0025_01,C0025,A0025_1,A0025_2,76909,2026-03-28 01:35:00,Transfer
T0025_02,C0025,A0025_2,A0025_3,57330,2026-03-28 01:52:00,Transfer
T0025_03,C0025,A0025_3,A0025_4,47368,2026-03-28 02:25:00,Transfer
T0025_04,C0025,A0025_4,A0025_5,34544,2026-03-28 02:28:00,Transfer
T0026_01,C0026,A0026_1,A0026_2,87636,2026-06-27 08:40:00,Transfer
T0026_02,C0026,A0026_2,A0026_3,54914,2026-06-27 09:12:00,Transfer
T0026_03,C0026,A0026_3,A0026_4,36276,2026-06-27 09:47:00,Transfer
T0026_04,C0026,A0026_4,A0026_5,28611,2026-06-27 09:55:00,Transfer
T0026_05,C0026,A0026_5,A0026_6,25264,2026-06-27 10:15:00,Transfer
T0026_06,C0026,A0026_6,A0026_7,16194,2026-06-27 10:28:00,Transfer
T0027_01,C0027,A0027_1,A0027_2,53904,2026-02-02 10:04:00,Transfer
T0027_02,C0027,A0027_2,A0027_3,32107,2026-02-02 10:10:00,Transfer
T0027_03,C0027,A0027_3,A0027_4,22805,2026-02-02 10:16:00,Transfer
T0027_04,C0027,A0027_4,A0027_5,17806,2026-02-02 10:21:00,Transfer
T0027_05,C0027,A0027_5,A0027_6,10873,2026-02-02 10:42:00,Transfer
T0028_01,C0028,A0028_1,A0028_2,185746,2026-05-23 14:35:00,Transfer
T0028_02,C0028,A0028_2,A0028_3,119981,2026-05-23 14:41:00,Transfer
T0028_03,C0028,A0028_3,A0028_4,73501,2026-05-23 15:09:00,Transfer
T0028_04,C0028,A0028_4,A0028_5,53670,2026-05-23 15:41:00,Transfer
T0028_05,C0028,A0028_5,A0028_6,35771,2026-05-23 15:57:00,Transfer
T0028_06,C0028,A0028_6,A0028_7,23796,2026-05-23 16:17:00,Transfer
T0029_01,C0029,A0029_1,A0029_2,37081,2026-06-25 08:41:00,Transfer
T0029_02,C0029,A0029_2,A0029_3,30609,2026-06-25 09:08:00,Transfer
T0029_03,C0029,A0029_3,A0029_4,28376,2026-06-25 09:42:00,Transfer
T0029_04,C0029,A0029_4,A0029_5,21735,2026-06-25 10:12:00,Transfer
T0029_05,C0029,A0029_5,A0029_6,12653,2026-06-25 10:16:00,Transfer
T0029_06,C0029,A0029_6,A0029_7,11460,2026-06-25 10:38:00,Transfer
T0030_01,C0030,A0030_1,A0030_2,96194,2026-02-28 23:33:00,Transfer
T0030_02,C0030,A0030_2,A0030_3,65731,2026-02-28 23:41:00,Transfer
T0030_03,C0030,A0030_3,A0030_4,58703,2026-03-01 00:04:00,Transfer
T0030_04,C0030,A0030_4,A0030_5,41952,2026-03-01 00:37:00,Transfer
T0030_05,C0030,A0030_5,A0030_6,27910,2026-03-01 01:04:00,Transfer
T0031_01,C0031,A0031_1,A0031_2,47350,2026-01-23 11:36:00,Transfer
T0031_02,C0031,A0031_2,A0031_3,37887,2026-01-23 11:41:00,Transfer
T0031_03,C0031,A0031_3,A0031_4,23922,2026-01-23 11:51:00,Transfer
T0032_01,C0032,A0032_1,A0032_2,38092,2026-05-05 04:46:00,Transfer
T0032_02,C0032,A0032_2,A0032_3,28704,2026-05-05 05:05:00,Transfer
T0032_03,C0032,A0032_3,A0032_4,20557,2026-05-05 05:37:00,Transfer
T0032_04,C0032,A0032_4,A0032_5,19366,2026-05-05 05:54:00,Transfer
T0033_01,C0033,A0033_1,A0033_2,171655,2026-02-18 21:15:00,Transfer
T0033_02,C0033,A0033_2,A0033_3,131390,2026-02-18 21:39:00,Transfer
T0033_03,C0033,A0033_3,A0033_4,89736,2026-02-18 22:05:00,Transfer
T0034_01,C0034,A0034_1,A0034_2,70624,2026-02-18 23:59:00,Transfer
T0034_02,C0034,A0034_2,A0034_3,42409,2026-02-19 00:22:00,Transfer
T0034_03,C0034,A0034_3,A0034_4,38078,2026-02-19 00:52:00,Transfer
T0034_04,C0034,A0034_4,A0034_5,22461,2026-02-19 01:23:00,Transfer
T0035_01,C0035,A0035_1,A0035_2,120055,2026-08-11 22:42:00,Transfer
T0035_02,C0035,A0035_2,A0035_3,95681,2026-08-11 22:59:00,Transfer
T0035_03,C0035,A0035_3,A0035_4,76780,2026-08-11 23:19:00,Transfer
T0035_04,C0035,A0035_4,A0035_5,72861,2026-08-11 23:26:00,Transfer
T0035_05,C0035,A0035_5,A0035_6,52721,2026-08-11 23:34:00,Transfer
T0035_06,C0035,A0035_6,A0035_7,45031,2026-08-11 23:42:00,Transfer
T0036_01,C0036,A0036_1,A0036_2,82516,2026-08-20 01:14:00,Transfer
T0036_02,C0036,A0036_2,A0036_3,65500,2026-08-20 01:40:00,Transfer
T0036_03,C0036,A0036_3,A0036_4,52261,2026-08-20 01:57:00,Transfer
T0037_01,C0037,A0037_1,A0037_2,80277,2026-03-01 16:31:00,Transfer
T0037_02,C0037,A0037_2,A0037_3,71295,2026-03-01 16:45:00,Transfer
T0037_03,C0037,A0037_3,A0037_4,67712,2026-03-01 17:17:00,Transfer
T0037_04,C0037,A0037_4,A0037_5,40130,2026-03-01 17:43:00,Transfer
T0037_05,C0037,A0037_5,A0037_6,31252,2026-03-01 18:03:00,Transfer
T0038_01,C0038,A0038_1,A0038_2,9749,2026-08-01 23:02:00,Transfer
T0038_02,C0038,A0038_2,A0038_3,6215,2026-08-01 23:16:00,Transfer
T0038_03,C0038,A0038_3,A0038_4,4961,2026-08-01 23:26:00,Transfer
T0039_01,C0039,A0039_1,A0039_2,64633,2026-06-15 01:54:00,Transfer
T0039_02,C0039,A0039_2,A0039_3,49272,2026-06-15 02:13:00,Transfer
T0039_03,C0039,A0039_3,A0039_4,43467,2026-06-15 02:31:00,Transfer
T0040_01,C0040,A0040_1,A0040_2,59788,2026-03-17 11:57:00,Transfer
T0040_02,C0040,A0040_2,A0040_3,43759,2026-03-17 12:15:00,Transfer
T0040_03,C0040,A0040_3,A0040_4,34299,2026-03-17 12:40:00,Transfer
T0041_01,C0041,A0041_1,A0041_2,79552,2026-01-07 21:29:00,Transfer
T0041_02,C0041,A0041_2,A0041_3,46846,2026-01-07 21:39:00,Transfer
T0041_03,C0041,A0041_3,A0041_4,33047,2026-01-07 22:04:00,Transfer
T0041_04,C0041,A0041_4,A0041_5,27038,2026-01-07 22:32:00,Transfer
T0042_01,C0042,A0042_1,A0042_2,231352,2026-08-15 14:27:00,Transfer
T0042_02,C0042,A0042_2,A0042_3,216842,2026-08-15 14:58:00,Transfer
T0042_03,C0042,A0042_3,A0042_4,127214,2026-08-15 15:13:00,Transfer
T0042_04,C0042,A0042_4,A0042_5,102621,2026-08-15 15:16:00,Transfer
T0042_05,C0042,A0042_5,A0042_6,58517,2026-08-15 15:39:00,Transfer
T0042_06,C0042,A0042_6,A0042_7,37885,2026-08-15 15:49:00,Transfer
T0043_01,C0043,A0043_1,A0043_2,42652,2026-07-15 19:04:00,Transfer
T0043_02,C0043,A0043_2,A0043_3,25707,2026-07-15 19:28:00,Transfer
T0043_03,C0043,A0043_3,A0043_4,22262,2026-07-15 19:45:00,Transfer
T0043_04,C0043,A0043_4,A0043_5,17487,2026-07-15 19:48:00,Transfer
T0044_01,C0044,A0044_1,A0044_2,174898,2026-07-09 15:01:00,Transfer
T0044_02,C0044,A0044_2,A0044_3,117295,2026-07-09 15:04:00,Transfer
T0044_03,C0044,A0044_3,A0044_4,67366,2026-07-09 15:36:00,Transfer
T0045_01,C0045,A0045_1,A0045_2,47878,2026-05-06 15:49:00,Transfer
T0045_02,C0045,A0045_2,A0045_3,28232,2026-05-06 15:58:00,Transfer
T0045_03,C0045,A0045_3,A0045_4,25158,2026-05-06 16:13:00,Transfer
T0045_04,C0045,A0045_4,A0045_5,18164,2026-05-06 16:29:00,Transfer
T0045_05,C0045,A0045_5,A0045_6,12996,2026-05-06 17:00:00,Transfer
T0046_01,C0046,A0046_1,A0046_2,62034,2026-03-22 15:17:00,Transfer
T0046_02,C0046,A0046_2,A0046_3,50744,2026-03-22 15:45:00,Transfer
T0046_03,C0046,A0046_3,A0046_4,35086,2026-03-22 16:14:00,Transfer
T0046_04,C0046,A0046_4,A0046_5,31480,2026-03-22 16:19:00,Transfer
T0046_05,C0046,A0046_5,A0046_6,29508,2026-03-22 16:40:00,Transfer
T0047_01,C0047,A0047_1,A0047_2,53595,2026-02-24 05:39:00,Transfer
T0047_02,C0047,A0047_2,A0047_3,42532,2026-02-24 05:58:00,Transfer
T0047_03,C0047,A0047_3,A0047_4,23885,2026-02-24 06:17:00,Transfer
T0048_01,C0048,A0048_1,A0048_2,52462,2026-03-28 12:36:00,Transfer
T0048_02,C0048,A0048_2,A0048_3,32157,2026-03-28 12:57:00,Transfer
T0048_03,C0048,A0048_3,A0048_4,26968,2026-03-28 13:04:00,Transfer
T0048_04,C0048,A0048_4,A0048_5,24361,2026-03-28 13:15:00,Transfer
T0049_01,C0049,A0049_1,A0049_2,96412,2026-06-22 03:26:00,Transfer
T0049_02,C0049,A0049_2,A0049_3,54778,2026-06-22 03:53:00,Transfer
T0049_03,C0049,A0049_3,A0049_4,51698,2026-06-22 03:58:00,Transfer
T0049_04,C0049,A0049_4,A0049_5,28592,2026-06-22 04:19:00,Transfer
T0049_05,C0049,A0049_5,A0049_6,26537,2026-06-22 04:29:00,Transfer
T0049_06,C0049,A0049_6,A0049_7,22706,2026-06-22 04:49:00,Transfer
T0050_01,C0050,A0050_1,A0050_2,89850,2026-07-11 15:15:00,Transfer
T0050_02,C0050,A0050_2,A0050_3,70025,2026-07-11 15:43:00,Transfer
T0050_03,C0050,A0050_3,A0050_4,46623,2026-07-11 16:10:00,Transfer
T0050_04,C0050,A0050_4,A0050_5,26031,2026-07-11 16:32:00,Transfer
T0050_05,C0050,A0050_5,A0050_6,16106,2026-07-11 17:03:00,Transfer
T0050_06,C0050,A0050_6,A0050_7,14218,2026-07-11 17:28:00,Transfer
T0051_01,C0051,A0051_1,A0051_2,24566,2026-03-04 15:12:00,Transfer
T0051_02,C0051,A0051_2,A0051_3,22413,2026-03-04 15:36:00,Transfer
T0051_03,C0051,A0051_3,A0051_4,15474,2026-03-04 15:47:00,Transfer
T0052_01,C0052,A0052_1,A0052_2,68091,2026-02-20 06:30:00,Transfer
T0052_02,C0052,A0052_2,A0052_3,41561,2026-02-20 06:36:00,Transfer
T0052_03,C0052,A0052_3,A0052_4,30654,2026-02-20 06:57:00,Transfer
T0053_01,C0053,A0053_1,A0053_2,64153,2026-05-10 02:49:00,Transfer
T0053_02,C0053,A0053_2,A0053_3,43534,2026-05-10 03:21:00,Transfer
T0053_03,C0053,A0053_3,A0053_4,32674,2026-05-10 03:26:00,Transfer
