withdrawal_id,case_id,account_id,location_id,amount,timestamp
W0001,C0001,A0001_5,L001,34598,2026-06-13 05:55:00
W0002,C0002,A0002_6,L005,28417,2026-02-11 02:39:00
W0003,C0003,A0003_6,L007,8516,2026-08-07 09:37:00
W0004,C0004,A0004_7,L007,59219,2026-02-24 22:38:00
W0005,C0005,A0005_4,L006,32110,2026-05-16 10:46:00
W0006,C0006,A0006_6,L005,16343,2026-05-10 22:51:00
W0007,C0007,A0007_6,L006,11253,2026-04-19 09:14:00
W0008,C0008,A0008_5,L006,5453,2026-02-03 21:33:00
W0009,C0009,A0009_6,L001,7044,2026-04-25 07:54:00
W0010,C0010,A0010_5,L001,4586,2026-07-07 21:45:00
W0011,C0011,A0011_4,L004,73463,2026-01-31 22:28:00
W0012,C0012,A0012_6,L005,21885,2026-05-25 06:12:00
W0013,C0013,A0013_7,L004,7028,2026-07-03 14:34:00
W0014,C0014,A0014_5,L007,9246,2026-06-20 06:46:00
W0015,C0015,A0015_5,L007,15896,2026-08-12 10:37:00
W0016,C0016,A0016_7,L012,11245,2026-04-23 00:12:00
W0017,C0017,A0017_7,L008,11663,2026-06-23 08:17:00
W0018,C0018,A0018_7,L002,38028,2026-05-03 00:15:00
W0019,C0019,A0019_5,L009,23786,2026-05-10 16:55:00
W0020,C0020,A0020_7,L010,7181,2026-06-27 08:27:00
W0021,C0021,A0021_7,L012,12399,2026-08-24 07:28:00
W0022,C0022,A0022_5,L005,42572,2026-01-08 10:17:00
W0023,C0023,A0023_5,L010,4439,2026-04-07 15:25:00
W0024,C0024,A0024_5,L007,14567,2026-08-17 19:38:00
W0025,C0025,A0025_5,L009,20946,2026-03-28 03:22:00
W0026,C0026,A0026_7,L004,13600,2026-06-27 12:20:00
W0027,C0027,A0027_6,L006,6731,2026-02-02 11:24:00
W0028,C0028,A0028_7,L004,17083,2026-05-23 17:20:00
W0029,C0029,A0029_7,L012,5872,2026-06-25 12:01:00
W0030,C0030,A0030_6,L010,14446,2026-03-01 02:38:00
W0031,C0031,A0031_4,L009,22075,2026-01-23 12:32:00
W0032,C0032,A0032_5,L002,11027,2026-05-05 06:15:00
W0033,C0033,A0033_4,L012,58728,2026-02-19 00:02:00
W0034,C0034,A0034_5,L011,12784,2026-02-19 03:43:00
W0035,C0035,A0035_7,L009,37516,2026-08-12 00:29:00
W0036,C0036,A0036_4,L007,40759,2026-08-20 04:27:00
W0037,C0037,A0037_6,L005,15955,2026-03-01 20:34:00
